,name,student_body,median_parent_income,median_child_income,cost_of_attendance,pell_aid_per_student,institutional_grant_aid_avg,debt_median,student_income_10_years_median,clusters,cluster
3130,The University of Findlay,2767.0,81800,39900,40131.0,782.8181,15098.28,17594.5,43200.0,1,pink
3131,University of Florida,31879.0,106100,56700,20085.0,1357.644,3732.66,13500.0,56000.0,1,pink
3133,University of Georgia,26738.0,127400,49900,21981.0,961.3157,5872.84,15994.0,50500.0,1,pink
3134,University of Hartford,4956.0,106300,47400,47114.0,1001.436,13461.51,16000.0,47800.0,1,pink
3135,University of Hawaii at Manoa,13667.0,75200,35600,19106.0,1259.015,2449.7,12500.0,45800.0,2,purple
3136,University of Hawaii at Hilo,3295.0,75200,35600,16372.0,1900.775,2102.1,10742.0,37900.0,2,purple
3137,Honolulu Community College,3261.0,75200,35600,10791.0,832.2866,385.28,4386.0,35700.0,2,purple
3138,Kapiolani Community College,5764.0,75200,35600,9000.0,645.5583,431.34,5500.0,37200.0,2,purple
3139,Kauai Community College,1212.0,75200,35600,11726.0,1291.128,957.72,4294.0,39000.0,2,purple
3140,University of Hawaii Maui College,3302.0,75200,35600,11749.0,1591.293,833.28,9066.0,29900.0,2,purple
3141,Leeward Community College,5789.0,75200,35600,6636.0,903.2126,283.84,4007.0,33200.0,2,purple
3142,Hawaii Community College,2633.0,75200,35600,12925.0,1750.571,539.54,5865.0,26600.0,2,purple
3143,Windward Community College,1782.0,75200,35600,11177.0,1282.453,737.59,5500.0,29600.0,2,purple
3144,University of Hawaii-West Oahu,2424.0,75200,35600,11521.0,1323.63,880.31,7500.0,38600.0,2,purple
3145,University of Houston-Downtown,13662.0,65700,45400,15912.0,1771.161,1323.56,11000.0,45000.0,2,purple
3146,University of Houston,31643.0,65700,45400,22713.0,1548.082,3387.2,13500.0,51600.0,2,purple
3148,University of Houston-Victoria,2991.0,65700,45400,17981.0,1706.171,1049.58,9673.0,41800.0,2,purple
3149,University of Idaho,8162.0,86600,41300,19381.0,1645.655,4143.92,15500.0,41900.0,1,pink
3150,University of Illinois at Urbana-Champaign,31875.0,109000,59700,29086.0,862.1258,3854.34,18500.0,61500.0,1,pink
3151,University of Illinois at Chicago,16635.0,109000,59700,25146.0,2169.5820000000003,4016.98,14000.0,54300.0,1,pink
3152,University of Illinois at Springfield,2969.0,109000,59700,21630.0,1455.611,3903.25,13258.0,44600.0,1,pink
3153,University of Indianapolis,4136.0,86100,40600,37238.0,1404.297,8690.64,18263.0,40600.0,1,pink
3154,University of Iowa,21486.0,114700,52600,20691.0,710.9803,4709.1,16500.0,51900.0,1,pink
3155,University of Kansas,18802.0,116600,47300,23049.0,869.2623,3058.47,13021.0,48800.0,1,pink
3156,University of Kentucky,21725.0,98800,40100,23162.0,1017.471,5723.56,13250.0,45100.0,1,pink
3157,University of La Verne,5137.0,72300,48600,47935.0,2033.023,12021.8,18750.0,49200.0,1,pink
3158,University of Louisiana at Lafayette,14667.0,75800,39200,16112.0,1390.28,2240.55,11000.0,39900.0,2,purple
3159,University of Louisiana at Monroe,5799.0,59700,35000,16310.0,1566.76,3175.66,9500.0,37500.0,2,purple
3160,University of Louisville,15038.0,87400,39800,22389.0,1178.395,6442.5,11695.0,41800.0,1,pink
3161,University of Maine at Presque Isle,847.0,72600,34300,16437.0,1441.0770000000002,1415.68,9012.0,32400.0,2,purple
3162,University of Maine at Farmington,1738.0,72600,34300,20989.0,1837.468,2292.93,18758.0,36000.0,2,purple
3163,University of Maine at Fort Kent,956.0,72600,34300,17932.0,1236.723,1472.9,11549.0,33400.0,2,purple
3164,University of Maine,8682.0,72600,34300,22193.0,1577.932,4103.08,15250.0,42500.0,2,purple
3165,University of Southern Maine,5783.0,72600,34300,22083.0,1293.735,2329.56,13000.0,38700.0,2,purple
3166,University of Maine at Machias,574.0,72600,34300,17503.0,1688.38,2816.98,9500.0,27500.0,2,purple
3167,University of Maine at Augusta,4094.0,72600,34300,14469.0,2165.525,998.82,9500.0,27700.0,2,purple
3168,University of Mary,1928.0,79700,49800,23793.0,889.0206,4485.52,15000.0,48000.0,1,pink
3169,University of Mary Hardin-Baylor,3039.0,83700,40100,36180.0,1632.171,7305.3,15000.0,44200.0,1,pink
3170,University of Mary Washington,4101.0,133800,50000,23371.0,593.73,1118.26,15471.5,51400.0,3,dark purple
3172,Bowie State University,4401.0,102800,53500,19456.0,2018.907,2809.22,14250.5,45800.0,1,pink
3173,Coppin State University,2652.0,102800,53500,15837.0,2516.916,2738.88,11250.0,38100.0,1,pink
3174,Frostburg State University,4765.0,102800,53500,20046.0,1446.495,1733.94,14500.0,44600.0,1,pink
3175,Morgan State University,6239.0,102800,53500,21666.0,2533.396,4110.66,20000.0,40500.0,1,pink
3176,Salisbury University,7782.0,102800,53500,21784.0,866.4244,1367.5,14750.0,50500.0,1,pink
3177,St. Mary's College of Maryland,1668.0,102800,53500,29172.0,658.3246,4252.16,16750.0,52200.0,1,pink
3178,Towson University,18546.0,102800,53500,21973.0,992.3869,2456.08,14000.0,50800.0,1,pink
3179,University of Baltimore,3444.0,102800,53500,21225.0,1640.297,3358.68,12500.0,58000.0,1,pink
3180,University of Maryland-College Park,26532.0,102800,53500,23258.0,789.7457,3181.0,16000.0,62900.0,1,pink
3182,University of Maryland-Baltimore County,11274.0,102800,53500,21941.0,1115.144,3669.61,15000.0,55000.0,1,pink
3183,University of Maryland Eastern Shore,3441.0,102800,53500,21472.0,2377.074,4203.43,14750.0,36600.0,1,pink
3184,University of Maryland-University College,33892.0,53900,40100,13525.0,669.9791,482.54,7500.0,51200.0,2,purple
3185,University of Massachusetts-Lowell,12190.0,100000,51700,23628.0,1165.28,2813.24,18981.0,53300.0,1,pink
3186,University of Massachusetts-Dartmouth,7185.0,100000,51700,24104.0,1540.361,2968.68,18000.0,48200.0,1,pink
3187,University of Massachusetts-Amherst,21864.0,100000,51700,26207.0,978.1544,4008.84,21102.0,51400.0,1,pink
3188,University of Massachusetts-Boston,12108.0,100000,51700,19355.0,1529.362,2265.3,14900.0,48200.0,1,pink
3189,University of Memphis,16093.0,83000,36100,21492.0,1905.454,4648.92,15078.5,37400.0,2,purple
3190,University of Miami,10828.0,110100,54800,59850.0,821.1101,17348.45,18500.0,60100.0,3,dark purple
3191,University of Michigan-Ann Arbor,28217.0,156100,68700,26143.0,655.9376,6238.83,19597.0,63400.0,3,dark purple
3192,University of Michigan-Dearborn,6906.0,105200,50200,17766.0,1867.646,2476.6,16411.0,48600.0,1,pink
3193,University of Michigan-Flint,6565.0,94500,38700,19079.0,2129.9,2015.2,17049.0,40600.0,1,pink
3194,University of Minnesota-Duluth,9120.0,101600,48800,23153.0,1004.913,1886.23,17000.0,47200.0,1,pink
3195,University of Minnesota-Morris,1803.0,101600,48800,23135.0,1239.398,3177.56,12000.0,40700.0,1,pink
3196,University of Minnesota-Twin Cities,30135.0,101600,48800,24551.0,927.4855,2579.51,16500.0,51900.0,1,pink
3197,University of Minnesota-Rochester,479.0,101600,48800,24936.0,1201.333,1429.76,16500.0,51900.0,1,pink
3198,University of Minnesota-Crookston,1876.0,101600,48800,22394.0,1034.36,2089.36,12083.0,44800.0,1,pink
3199,University of Mississippi,17799.0,109100,43300,22444.0,1281.565,4449.24,13582.5,42700.0,1,pink
3200,University of Missouri-Columbia,27276.0,103000,48800,22943.0,842.9917,3316.57,15853.0,48300.0,1,pink
3201,Missouri University of Science and Technology,6418.0,103000,48800,21798.0,1017.387,5311.17,19000.0,71200.0,1,pink
3202,University of Missouri-Kansas City,8127.0,103000,48800,24436.0,1278.707,2473.35,14000.0,45700.0,1,pink
