,median_graduate_income,median_parent_income
566,33700.0,82000
567,41400.0,88500
568,54400.0,94800
569,65000.0,94800
570,58500.0,122300
571,33900.0,40400
572,46200.0,87500
573,52600.0,106800
574,43400.0,75200
575,43800.0,91000
576,51400.0,87700
577,29300.0,56900
578,36500.0,90600
579,32300.0,66800
580,41500.0,73500
581,21300.0,52000
582,39400.0,88200
583,30600.0,44900
584,71000.0,157000
585,30500.0,68700
586,27500.0,53000
587,32500.0,49200
588,28100.0,59900
589,27400.0,51500
590,25900.0,57500
591,37400.0,55800
592,58500.0,147100
593,46300.0,108100
594,27100.0,43500
595,27100.0,43500
596,27100.0,43500
597,27100.0,43500
598,37500.0,95000
599,39300.0,98600
600,45400.0,154600
601,36800.0,75800
602,32700.0,79400
603,38400.0,72900
604,84900.0,111500
605,47100.0,115400
606,37500.0,72300
607,42200.0,52300
608,42200.0,52300
609,42200.0,52300
610,42200.0,52300
611,42200.0,52300
612,42200.0,52300
613,34900.0,64600
614,35900.0,77500
615,34400.0,85100
616,38300.0,61700
617,34600.0,62600
619,29900.0,71700
620,31500.0,74300
621,83300.0,169600
622,32200.0,81800
623,32200.0,72400
624,35900.0,72600
625,25800.0,41500
626,32000.0,66100
627,35100.0,71600
628,34700.0,68500
629,32000.0,43600
630,30500.0,64600
631,32300.0,66800
632,44500.0,86400
633,49200.0,77900
634,42800.0,79300
635,44500.0,91300
636,46400.0,94000
637,43300.0,88400
638,39700.0,86300
639,40100.0,75500
640,54900.0,170500
641,29300.0,49000
642,37800.0,76800
643,33200.0,85400
644,37600.0,85400
645,34900.0,85400
646,33900.0,93000
647,64900.0,110100
648,27400.0,41400
649,27400.0,41400
650,27400.0,41400
651,28100.0,50100
652,37600.0,79000
653,37600.0,79000
654,43000.0,91800
655,77200.0,143300
656,77200.0,143300
657,35400.0,84200
658,31500.0,65200
659,29100.0,89700
660,23100.0,40800
661,38300.0,101100
662,41200.0,86400
663,32400.0,75300
664,37700.0,44200
665,28900.0,57200
666,59700.0,119200
667,47300.0,44700
668,28200.0,51100
669,35100.0,73500
670,35600.0,79900
671,43200.0,102800
672,43200.0,102800
673,43200.0,102800
674,36600.0,78600
675,31400.0,59900
676,38700.0,68800
677,45900.0,101600
678,27000.0,57500
679,29800.0,42500
680,46400.0,75800
681,29100.0,63200
682,42800.0,77600
683,37900.0,54900
684,43200.0,87000
685,30400.0,59200
686,29700.0,59200
687,32300.0,59200
688,34100.0,59200
689,32200.0,59200
690,37300.0,59200
691,37200.0,59200
692,32300.0,63500
693,54200.0,93800
694,28000.0,61100
695,25000.0,59800
696,75500.0,185500
697,29600.0,63200
698,30700.0,55800
699,30700.0,55800
700,30700.0,55800
701,30700.0,55800
702,30700.0,55800
703,30700.0,55800
704,30700.0,55800
705,30700.0,55800
706,30700.0,55800
707,30700.0,55800
708,30700.0,55800
709,30700.0,55800
710,30700.0,55800
711,58900.0,208500
712,25600.0,60000
713,37400.0,68000
714,27700.0,78400
715,29600.0,58000
716,28700.0,52400
717,54000.0,117700
718,49700.0,98800
719,33500.0,91400
720,41000.0,77900
721,31800.0,52900
722,36900.0,80800
723,30400.0,64600
724,31300.0,69900
725,35000.0,82100
726,42100.0,90700
727,29800.0,43800
728,30300.0,75800
729,33700.0,71000
730,48800.0,149300
731,53300.0,99900
732,34300.0,72600
733,44100.0,56300
734,44100.0,56300
735,44100.0,56300
736,44100.0,56300
737,44100.0,56300
738,44100.0,56300
739,44100.0,56300
740,44100.0,56300
741,44100.0,56300
742,44100.0,56300
743,44100.0,56300
744,44100.0,56300
745,44100.0,56300
746,44100.0,56300
747,44100.0,56300
748,44100.0,56300
749,44100.0,56300
750,44100.0,56300
751,44100.0,56300
752,44100.0,56300
753,44100.0,56300
754,44100.0,56300
755,44100.0,56300
756,44100.0,56300
757,44100.0,56300
758,57400.0,136600
